,COND_NB_HIST_RECL_CAT,VEH_CAMERA_IND,VEH_AGE_NUM,VEH_MANUFACTURIER_CAT,VEH_GARE_LATITUDE_NUM,POL_NB_COND_TOTAL_CAT,VEH_GARE_MUNICIPALITE_CAT,RECL_DIST_ACCIDENT_GARE_NUM,RECL_TYPE_SINISTRE_CAT,RECL_COUT_REPARATION_NUM,VEH_GARE_LONGITUDE_NUM,POL_FRANCHISE_NUM,VEH_PRIME_ANNUELLE_NUM,VEH_VALEUR_ACTUELLE_NUM,VEH_STATIONNEMENT_AUTO_IND,COND_PERMIS_DATE_DT,VEH_STYLE_CARR_CAT,VEH_GARE_LATITUDE_NUM
0,0.0,0.0,3.0,0.0,-79.3725,2.0,0.0,0.0,0.0,4335.702361319726,44.9389,500.0,328.51,13203.0,0.0,19911022.0,0.0,-79.3725
1,0.0,0.0,1.0,1.0,-64.7912,2.0,1.0,59.0,1.0,10371.011468720288,46.0983,1000.0,532.01,22367.0,0.0,19500430.0,0.0,-64.7912
2,0.0,1.0,1.0,2.0,-63.6793,3.0,2.0,7.0,2.0,18290.4,44.7632,500.0,538.89,21033.0,0.0,19540905.0,1.0,-63.6793
3,0.0,1.0,2.0,3.0,-73.56,2.0,3.0,13.0,3.0,27009.18,45.6516,1000.0,625.36,25041.0,0.0,19900927.0,2.0,-73.56
4,1.0,1.0,9.0,2.0,-71.254,2.0,4.0,24.0,4.0,17399.990907437204,46.8406,1000.0,336.95,15786.0,0.0,19960912.0,3.0,-71.254
5,0.0,1.0,0.0,3.0,-63.6559,1.0,2.0,10.0,5.0,10000.0,44.7625,1000.0,438.55,19947.0,0.0,19750920.0,1.0,-63.6559
6,3.0,1.0,3.0,3.0,-79.1755,2.0,5.0,11.0,6.0,1016.399953891595,43.7854,500.0,467.81,16741.0,0.0,20061110.0,3.0,-79.1755
7,0.3333333333333333,1.0,3.0,4.0,-65.1124,2.0,6.0,1.0,7.0,27394.87731828218,45.9053,500.0,780.55,33972.0,0.0,20190120.0,4.0,-65.1124
8,0.0,1.0,10.0,3.0,-64.5435,2.0,7.0,4.0,8.0,29944.65,46.225,1000.0,355.92,15148.0,0.0,19761027.0,2.0,-64.5435
9,1.0,1.0,3.0,5.0,-122.9136,2.0,8.0,21.0,6.0,500.0,49.1349,1000.0,614.78,25940.0,0.0,20080925.0,5.0,-122.9136
10,1.0,1.0,8.0,6.0,-107.7807,1.0,9.0,26.0,3.0,23623.6,50.2839,500.0,657.25,22891.0,0.0,19570627.0,4.0,-107.7807
